Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths,WeekNum,Month,Last7Days,Last14Days,Last30Days,CasesPM,DeathsPM,MyCountries,GrowthPerDay,PercentChange,DeathPerDay,DeathPerChange
2020-02-18,Albania,,41.1533,20.1683,0,0,0,8,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-19,Albania,,41.1533,20.1683,0,0,0,8,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-20,Albania,,41.1533,20.1683,0,0,0,8,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-21,Albania,,41.1533,20.1683,0,0,0,8,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-22,Albania,,41.1533,20.1683,0,0,0,8,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-23,Albania,,41.1533,20.1683,0,0,0,8,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-24,Albania,,41.1533,20.1683,0,0,0,9,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-25,Albania,,41.1533,20.1683,0,0,0,9,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-26,Albania,,41.1533,20.1683,0,0,0,9,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-27,Albania,,41.1533,20.1683,0,0,0,9,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-28,Albania,,41.1533,20.1683,0,0,0,9,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-29,Albania,,41.1533,20.1683,0,0,0,9,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-01,Albania,,41.1533,20.1683,0,0,0,9,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-02,Albania,,41.1533,20.1683,0,0,0,10,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-03,Albania,,41.1533,20.1683,0,0,0,10,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-04,Albania,,41.1533,20.1683,0,0,0,10,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-05,Albania,,41.1533,20.1683,0,0,0,10,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-06,Albania,,41.1533,20.1683,0,0,0,10,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-07,Albania,,41.1533,20.1683,0,0,0,10,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-08,Albania,,41.1533,20.1683,0,0,0,10,3,False,False,False,0,0,False,0,0.0,0,0.0
2020-03-09,Albania,,41.1533,20.1683,2,0,0,11,3,False,False,False,0,0,False,2,0.0,0,0.0
2020-03-10,Albania,,41.1533,20.1683,10,0,0,11,3,False,False,False,0,0,False,8,0.0,0,0.0
2020-03-11,Albania,,41.1533,20.1683,12,0,1,11,3,False,False,False,0,0,False,2,0.0,1,0.0
2020-03-12,Albania,,41.1533,20.1683,23,0,1,11,3,False,False,False,0,0,False,11,0.0,0,0.0
2020-03-13,Albania,,41.1533,20.1683,33,0,1,11,3,False,False,False,0,0,False,10,0.0,0,0.0
2020-03-14,Albania,,41.1533,20.1683,38,0,1,11,3,False,False,False,0,0,False,5,0.0,0,0.0
2020-03-15,Albania,,41.1533,20.1683,42,0,1,11,3,False,False,False,0,0,False,4,0.0,0,0.0
2020-03-16,Albania,,41.1533,20.1683,51,0,1,12,3,False,False,False,0,0,False,9,0.0,0,0.0
2020-03-17,Albania,,41.1533,20.1683,55,0,1,12,3,False,False,False,0,0,False,4,0.0,0,0.0
2020-03-18,Albania,,41.1533,20.1683,59,0,2,12,3,False,False,False,0,0,False,4,0.0,1,0.0
2020-03-19,Albania,,41.1533,20.1683,64,0,2,12,3,False,False,False,0,0,False,5,0.0,0,0.0
2020-03-20,Albania,,41.1533,20.1683,70,0,2,12,3,False,False,False,0,0,False,6,0.0,0,0.0
2020-03-21,Albania,,41.1533,20.1683,76,2,2,12,3,False,False,False,0,0,False,6,0.0,0,0.0
2020-03-22,Albania,,41.1533,20.1683,89,2,2,12,3,False,False,False,0,0,False,13,0.0,0,0.0
